,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15,realclose_15
744.0,1801,1801,1596634200,47.72999954223633,47.04999923706055,47.66999816894531,47.33000183105469,13075600,45.561431884765625,2020-08-05,CSCO,Cisco,0,48.084843,42.25
745.0,1802,1802,1596720600,47.83000183105469,47.09999847412109,47.22999954223633,47.77000045776367,14190900,45.98499298095703,2020-08-06,CSCO,Cisco,0,48.21427,42.290000915527344
746.0,1803,1803,1596807000,47.59999847412109,47.02999877929688,47.33000183105469,47.43000030517578,17054300,45.65769577026367,2020-08-07,CSCO,Cisco,0,48.297012,42.20000076293945
747.0,1804,1804,1597066200,48.0,47.15999984741211,47.15999984741211,47.72999954223633,14999200,45.94649124145508,2020-08-10,CSCO,Cisco,0,48.362324,42.220001220703125
748.0,1805,1805,1597152600,48.45000076293945,47.09000015258789,47.900001525878906,47.18999862670898,18859600,45.426666259765625,2020-08-11,CSCO,Cisco,0,48.403824,42.02999877929688
749.0,1806,1806,1597239000,48.130001068115234,47.27000045776367,47.27999877929688,48.09999847412109,26823700,46.30266189575195,2020-08-12,CSCO,Cisco,0,48.468204,42.41999816894531
750.0,1807,1807,1597325400,43.84000015258789,42.380001068115234,43.790000915527344,42.720001220703125,91849500,41.12369155883789,2020-08-13,CSCO,Cisco,0,47.886974,40.95000076293945
751.0,1808,1808,1597411800,42.880001068115234,42.27000045776367,42.4900016784668,42.5,32539500,40.91191101074219,2020-08-14,CSCO,Cisco,0,47.07019,40.81999969482422
752.0,1809,1809,1597671000,42.7599983215332,41.86000061035156,42.54999923706055,42.09000015258789,30511700,40.51723861694336,2020-08-17,CSCO,Cisco,0,46.25503,40.0
753.0,1810,1810,1597757400,42.290000915527344,41.810001373291016,42.130001068115234,41.97999954223633,23344600,40.41134643554688,2020-08-18,CSCO,Cisco,0,45.541565,40.130001068115234
754.0,1811,1811,1597843800,42.34999847412109,41.77999877929688,42.09999847412109,41.869998931884766,20097400,40.305450439453125,2020-08-19,CSCO,Cisco,0,44.980274,39.56999969482422
755.0,1812,1812,1597930200,42.41999816894531,41.72999954223633,41.869998931884766,42.310001373291016,18443900,40.72901916503906,2020-08-20,CSCO,Cisco,0,44.602707,39.880001068115234
756.0,1813,1813,1598016600,42.29999923706055,41.810001373291016,42.04999923706055,42.25,17389600,40.67125701904297,2020-08-21,CSCO,Cisco,0,44.375385,40.369998931884766
757.0,1814,1814,1598275800,42.470001220703125,42.0,42.06999969482422,42.18000030517578,17742900,40.6038703918457,2020-08-24,CSCO,Cisco,0,44.249325,40.59999847412109
758.0,1815,1815,1598362200,42.29999923706055,41.77999877929688,42.22999954223633,41.959999084472656,15417400,40.39209365844727,2020-08-25,CSCO,Cisco,0,44.180264,40.41999816894531
759.0,1816,1816,1598448600,42.27999877929688,41.45000076293945,41.650001525878906,42.25,21625800,40.67125701904297,2020-08-26,CSCO,Cisco,0,44.14004,40.369998931884766
760.0,1817,1817,1598535000,42.470001220703125,42.02000045776367,42.400001525878906,42.290000915527344,22456800,40.70975875854492,2020-08-27,CSCO,Cisco,0,44.162262,39.810001373291016
761.0,1818,1818,1598621400,42.29999923706055,42.0,42.13999938964844,42.20000076293945,16573600,40.62312698364258,2020-08-28,CSCO,Cisco,0,44.183952,39.040000915527344
762.0,1819,1819,1598880600,42.34999847412109,41.93999862670898,42.09999847412109,42.220001220703125,21298000,40.64237594604492,2020-08-31,CSCO,Cisco,0,44.20011,39.31999969482422
763.0,1820,1820,1598967000,42.06999969482422,41.5,42.0,42.02999877929688,23325100,40.45947647094727,2020-09-01,CSCO,Cisco,0,44.18832,38.27999877929688
764.0,1821,1821,1599053400,42.68999862670898,42.02999877929688,42.040000915527344,42.41999816894531,30045700,40.834903717041016,2020-09-02,CSCO,Cisco,0,44.197796,37.84999847412109
765.0,1822,1822,1599139800,41.83000183105469,40.66999816894531,41.75,40.95000076293945,39288100,39.41983413696289,2020-09-03,CSCO,Cisco,0,44.07872,38.45000076293945
766.0,1823,1823,1599226200,41.43000030517578,40.43999862670898,41.20000076293945,40.81999969482422,34867400,39.29469299316406,2020-09-04,CSCO,Cisco,0,43.882305,39.130001068115234
767.0,1824,1824,1599571800,40.61000061035156,39.970001220703125,40.04999923706055,40.0,29101800,38.505332946777344,2020-09-08,CSCO,Cisco,0,43.55685,39.060001373291016
