,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15,realclose_15
744.0,3915,3915,1596634200,252.2700042724609,247.7700042724609,250.19000244140625,249.1199951171875,13050100,249.1199951171875,2020-08-05,FB,Facebook,0,247.76945,303.9100036621094
745.0,3916,3916,1596720600,266.6000061035156,248.6699981689453,249.0399932861328,265.2799987792969,45241600,265.2799987792969,2020-08-06,FB,Facebook,0,250.15321,293.2200012207031
746.0,3917,3917,1596807000,278.8900146484375,263.42999267578125,264.0799865722656,268.44000244140625,72766400,268.44000244140625,2020-08-07,FB,Facebook,0,253.2828,293.6600036621094
747.0,3918,3918,1597066200,273.8599853515625,259.69000244140625,268.0400085449219,263.0,30248800,263.0,2020-08-10,FB,Facebook,0,256.644,293.20001220703125
748.0,3919,3919,1597152600,265.9200134277344,255.1300048828125,260.19000244140625,256.1300048828125,28238300,256.1300048828125,2020-08-11,FB,Facebook,0,259.4655,295.44000244140625
749.0,3920,3920,1597239000,263.8999938964844,258.1099853515625,258.9700012207031,259.8900146484375,21415700,259.8900146484375,2020-08-12,FB,Facebook,0,261.8334,302.5
750.0,3921,3921,1597325400,265.1600036621094,259.57000732421875,261.54998779296875,261.29998779296875,17374000,261.29998779296875,2020-08-13,FB,Facebook,0,263.85928,291.1199951171875
751.0,3922,3922,1597411800,262.6499938964844,258.67999267578125,262.3099975585937,261.239990234375,14792700,261.239990234375,2020-08-14,FB,Facebook,0,265.5395,282.7300109863281
752.0,3923,3923,1597671000,264.1000061035156,259.3999938964844,262.5,261.1600036621094,13351100,261.1600036621094,2020-08-17,FB,Facebook,0,266.87744,271.1600036621094
753.0,3924,3924,1597757400,265.1499938964844,259.260009765625,260.95001220703125,262.3399963378906,18690400,262.3399963378906,2020-08-18,FB,Facebook,0,267.8929,273.7200012207031
754.0,3925,3925,1597843800,267.9100036621094,261.3500061035156,261.3900146484375,262.5899963378906,23291500,262.5899963378906,2020-08-19,FB,Facebook,0,268.64267,268.0899963378906
755.0,3926,3926,1597930200,269.6300048828125,261.4599914550781,261.5,269.010009765625,20299700,269.010009765625,2020-08-20,FB,Facebook,0,269.40244,266.6099853515625
756.0,3927,3927,1598016600,270.489990234375,266.4200134277344,268.69000244140625,267.010009765625,15538600,267.010009765625,2020-08-21,FB,Facebook,0,270.25528,266.1499938964844
