,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15
744.0,744,744,1596634200,110.39250183105467,108.89749908447266,109.37750244140624,110.0625,121776800,109.0032196044922,2020-08-05,AAPL,Apple,0,103.107574
745.0,745,745,1596720600,114.4124984741211,109.79750061035156,110.40499877929688,113.90249633789062,202428800,112.8062515258789,2020-08-06,AAPL,Apple,0,104.902695
746.0,746,746,1596807000,113.6750030517578,110.2925033569336,113.20500183105467,111.1125030517578,198045600,110.24152374267578,2020-08-07,AAPL,Apple,0,106.75489
747.0,747,747,1597066200,113.7750015258789,110.0,112.5999984741211,112.72750091552734,212403600,111.84385681152344,2020-08-10,AAPL,Apple,0,108.59053
748.0,748,748,1597152600,112.48249816894533,109.10749816894533,111.97000122070312,109.375,187902400,108.51763153076172,2020-08-11,AAPL,Apple,0,110.20945
749.0,749,749,1597239000,113.2750015258789,110.29750061035156,110.49749755859376,113.01000213623048,165598000,112.12415313720705,2020-08-12,AAPL,Apple,0,111.6679
750.0,750,750,1597325400,116.0425033569336,113.92749786376952,114.43000030517578,115.01000213623048,210082000,114.10845947265624,2020-08-13,AAPL,Apple,0,113.08892
751.0,751,751,1597411800,115.0,113.04499816894533,114.83000183105467,114.90750122070312,165565200,114.00677490234376,2020-08-14,AAPL,Apple,0,114.42305
752.0,752,752,1597671000,116.0875015258789,113.9625015258789,116.0625,114.60749816894533,119561600,113.70911407470705,2020-08-17,AAPL,Apple,0,115.65353
753.0,753,753,1597757400,116.0,114.00749969482422,114.35250091552734,115.5625,105633600,114.6566390991211,2020-08-18,AAPL,Apple,0,116.7427
754.0,754,754,1597843800,117.1624984741211,115.61000061035156,115.98249816894533,115.7074966430664,145538000,114.80049896240234,2020-08-19,AAPL,Apple,0,117.7217
755.0,755,755,1597930200,118.39250183105467,115.73249816894533,115.75,118.2750015258789,126907200,117.34786987304688,2020-08-20,AAPL,Apple,0,118.64789
756.0,756,756,1598016600,124.86750030517578,119.25,119.2624969482422,124.37000274658205,338054800,123.39509582519533,2020-08-21,AAPL,Apple,0,119.75477
757.0,757,757,1598275800,128.78500366210938,123.9375,128.69749450683594,125.85749816894533,345937600,124.87094116210938,2020-08-24,AAPL,Apple,0,121.2006
758.0,758,758,1598362200,125.18000030517578,123.05249786376952,124.69750213623048,124.8249969482422,211495600,123.84652709960938,2020-08-25,AAPL,Apple,0,122.702034
759.0,759,759,1598448600,126.99250030517578,125.0824966430664,126.18000030517578,126.52249908447266,163022400,125.53073120117188,2020-08-26,AAPL,Apple,0,124.256454
760.0,760,760,1598535000,127.48500061035156,123.8324966430664,127.14250183105467,125.01000213623048,155552400,124.0300750732422,2020-08-27,AAPL,Apple,0,125.74995
