,Unnamed: 0,Unnamed: 0.1,date,high,low,open,close,volume,adjclose,formatted_date,Ticker,Company,compound,predictclose_15
744.0,4972,4972,1596634200,81.79000091552734,80.70999908447266,81.69999694824219,81.25,1179100,81.25,2020-08-05,SONY,Sony,0,80.099304
745.0,4973,4973,1596720600,81.12000274658203,80.36000061035156,80.86000061035156,80.47000122070312,1129800,80.47000122070312,2020-08-06,SONY,Sony,0,80.56198
746.0,4974,4974,1596807000,80.7300033569336,79.11000061035156,80.5,80.02999877929688,1101600,80.02999877929688,2020-08-07,SONY,Sony,0,80.94055
747.0,4975,4975,1597066200,80.44999694824219,79.7300033569336,80.44999694824219,80.05000305175781,644600,80.05000305175781,2020-08-10,SONY,Sony,0,81.240845
748.0,4976,4976,1597152600,80.31999969482422,79.22000122070312,79.91999816894531,79.33000183105469,1039600,79.33000183105469,2020-08-11,SONY,Sony,0,81.43915
749.0,4977,4977,1597239000,80.9800033569336,79.45999908447266,79.51000213623047,80.73999786376953,1233600,80.73999786376953,2020-08-12,SONY,Sony,0,81.58928
750.0,4978,4978,1597325400,83.19000244140625,81.2699966430664,81.55999755859375,82.66999816894531,1794200,82.66999816894531,2020-08-13,SONY,Sony,0,81.80113
751.0,4979,4979,1597411800,83.61000061035156,82.87999725341797,83.38999938964844,82.93000030517578,1419400,82.93000030517578,2020-08-14,SONY,Sony,0,82.09451
752.0,4980,4980,1597671000,83.70999908447266,82.72000122070312,83.52999877929688,83.44999694824219,1237400,83.44999694824219,2020-08-17,SONY,Sony,0,82.44848
753.0,4981,4981,1597757400,83.9000015258789,82.62999725341797,83.8499984741211,82.9800033569336,798200,82.9800033569336,2020-08-18,SONY,Sony,0,82.81984
754.0,4982,4982,1597843800,82.06999969482422,81.0199966430664,81.5,81.0999984741211,1354300,81.0999984741211,2020-08-19,SONY,Sony,0,83.07637
755.0,4983,4983,1597930200,79.56999969482422,78.87000274658203,79.06999969482422,79.41000366210938,1224700,79.41000366210938,2020-08-20,SONY,Sony,0,83.136314
756.0,4984,4984,1598016600,78.93000030517578,78.19999694824219,78.5,78.75,1337000,78.75,2020-08-21,SONY,Sony,0,83.02574
757.0,4985,4985,1598275800,80.27999877929688,79.37000274658203,79.91000366210938,79.7699966430664,848500,79.7699966430664,2020-08-24,SONY,Sony,0,82.86562
758.0,4986,4986,1598362200,79.62000274658203,79.16000366210938,79.18000030517578,79.37000274658203,636000,79.37000274658203,2020-08-25,SONY,Sony,0,82.653145
759.0,4987,4987,1598448600,81.20999908447266,80.13999938964844,80.4000015258789,81.12000274658203,900600,81.12000274658203,2020-08-26,SONY,Sony,0,82.495125
760.0,4988,4988,1598535000,81.19999694824219,79.97000122070312,81.19999694824219,80.41999816894531,1032800,80.41999816894531,2020-08-27,SONY,Sony,0,82.38143
761.0,4989,4989,1598621400,79.6500015258789,78.80000305175781,79.06999969482422,79.38999938964844,1010000,79.38999938964844,2020-08-28,SONY,Sony,0,82.22725
762.0,4990,4990,1598880600,78.9800033569336,78.44000244140625,78.6500015258789,78.63999938964844,777200,78.63999938964844,2020-08-31,SONY,Sony,0,82.02169
763.0,4991,4991,1598967000,80.11000061035156,78.75,79.2300033569336,79.5,1061900,79.5,2020-09-01,SONY,Sony,0,81.82909
764.0,4992,4992,1599053400,80.0,78.80000305175781,79.58999633789062,79.48999786376953,888900,79.48999786376953,2020-09-02,SONY,Sony,0,81.66306
765.0,4993,4993,1599139800,78.95999908447266,76.70999908447266,78.8499984741211,77.37999725341797,1069300,77.37999725341797,2020-09-03,SONY,Sony,0,81.446205
766.0,4994,4994,1599226200,78.47000122070312,75.5999984741211,77.77999877929688,77.66000366210938,1241500,77.66000366210938,2020-09-04,SONY,Sony,0,81.18966
767.0,4995,4995,1599571800,76.86000061035156,75.87000274658203,76.70999908447266,76.01000213623047,1262300,76.01000213623047,2020-09-08,SONY,Sony,0,80.84658
768.0,4996,4996,1599658200,77.94999694824219,76.55000305175781,76.86000061035156,77.4800033569336,888300,77.4800033569336,2020-09-09,SONY,Sony,0,80.50731
769.0,4997,4997,1599744600,77.94000244140625,76.4000015258789,77.7699966430664,76.5,979700,76.5,2020-09-10,SONY,Sony,0,80.17991
770.0,4998,4998,1599831000,77.38999938964844,76.23999786376953,77.18000030517578,77.0199966430664,826100,77.0199966430664,2020-09-11,SONY,Sony,0,79.879875
771.0,4999,4999,1600090200,78.26000213623047,77.2699966430664,77.33000183105469,77.72000122070312,676200,77.72000122070312,2020-09-14,SONY,Sony,0,79.63743
772.0,5000,5000,1600176600,77.30000305175781,76.2300033569336,76.87000274658203,76.45999908447266,1383600,76.45999908447266,2020-09-15,SONY,Sony,0,79.399796
773.0,5001,5001,1600263000,78.0,76.88999938964844,77.87999725341797,76.98999786376953,1789200,76.98999786376953,2020-09-16,SONY,Sony,0,79.21526
774.0,5002,5002,1600349400,78.29000091552734,76.72000122070312,77.16000366210938,77.61000061035156,1461500,77.61000061035156,2020-09-17,SONY,Sony,0,79.078224
775.0,5003,5003,1600435800,80.16999816894531,78.33000183105469,80.08000183105469,78.95999908447266,1212000,78.95999908447266,2020-09-18,SONY,Sony,0,79.08461
776.0,5004,5004,1600695000,78.3499984741211,77.0,77.75,78.2699966430664,762500,78.2699966430664,2020-09-21,SONY,Sony,0,79.11705
777.0,5005,5005,1600781400,79.08000183105469,77.81999969482422,79.06999969482422,78.69999694824219,730800,78.69999694824219,2020-09-22,SONY,Sony,0,79.20651
778.0,5006,5006,1600867800,78.54000091552734,76.98999786376953,78.5,77.33000183105469,873100,77.33000183105469,2020-09-23,SONY,Sony,0,79.277336
